262R,262 REVERE,Robusto,2R1,,8.99,14.00
262R,262 REVERE,Toro,2R2,,10.75,11.00
ACID,ACID,1400 cc,ac1,,15.75,0.00
ACID,ACID,Blondie Belicoso,ac4,,8.99,0.00
ACID,ACID,Blondie Mad,ac5,,8.99,0.00
ACID,ACID,Blue Conn Tin,ac6,,30.99,0.00
ACID,ACID,Cold Infusion,ac7,,12.25,0.00
ACID,ACID,DEADWOOD TIN,ac2,818578013724,42.99,1.00
ACID,ACID,Deep Dish,ac8,,13.99,0.00
ACID,ACID,Krush blue tin,ac12,876742000000,42.99,0.00
ACID,ACID,KRUSH MORADO,ac11,876742000031,42.99,1.00
ACID,ACID,krush Red tin,ac16,876742000024,42.99,4.00
ACID,ACID,Kuba Kuba,ac9,,18.99,0.00
ACID,ACID,Kuba Kuba,ac10,,11.99,0.00
ACID,ACID,OPEN,ac13,,18.99,0.00
ACID,ACID,OPEN,ac3,,21.99,0.00
ACID,ACID,TABAK DULCE CAFECITA,ac14,876742000802,42.99,4.00
ACID,ACID,Wafe,ac15,,6.75,0.00
ACME,ACME,66 Big Rig,acm3,,8.75,0.00
ACME,ACME,66 Tandem,acm4,,9.25,0.00
ACME,ACME,Premier Rob,acm1,,9.25,0.00
ACME,ACME,san Andres Toro,acm2,,10.50,0.00
AFUENTE,AFUENTE,858 mad,af2,843182100072,13.99,0.00
AFUENTE,AFUENTE,858 nat,af3,843182100096,15.99,20.00
AFUENTE,AFUENTE,858 nat 10 ct box,dr10,,159.99,6.00
AFUENTE,AFUENTE,858 ROSADO SUNGROWN,af4,843182100249,15.99,13.00
AFUENTE,AFUENTE,858 xc,af6,843182100218,15.99,18.00
AFUENTE,AFUENTE,af ashtray,af128,,59.99,4.00
AFUENTE,AFUENTE,AF ULITIMATE COLL BK,af13,,1882.50,1.00
AFUENTE,AFUENTE,ANEJO RESV 46 MAD,af105,,21.99,23.00
AFUENTE,AFUENTE,ANEJO RESV 50 MAD,af98,,22.99,21.00
AFUENTE,AFUENTE,ANEJO RESV 55 MAD,af112,,27.99,20.00
AFUENTE,AFUENTE,ANEJO RESV 60 MAD,af19,,25.99,25.00
AFUENTE,AFUENTE,ANEJO RESV 888 MAD,af5,,23.99,0.00
AFUENTE,AFUENTE,anejo shark 77 mad,af114,,25.99,0.00
AFUENTE,AFUENTE,angel share rdc tin,af 102,,109.99,0.00
AFUENTE,AFUENTE,canones mad,af16,,17.99,29.00
AFUENTE,AFUENTE,canones nat,af17,,20.99,51.00
AFUENTE,AFUENTE,carlito santa,af75,,30.00,1.00
AFUENTE,AFUENTE,carlos personal resv 5 ct. box,af124,,275.00,3.00
AFUENTE,AFUENTE,casa cub dbl tres,af22,843182120315,17.99,-12.00
AFUENTE,AFUENTE,casa cuba dbl cuatro,af38,,20.99,60.00
AFUENTE,AFUENTE,casa cuba dbl dos,af130,,20.99,18.00
AFUENTE,AFUENTE,casa cuba dbl seis,af23,,22.99,120.00
AFUENTE,AFUENTE,casa cuba dbl sinco,af7,,18.99,2.00
AFUENTE,AFUENTE,casa cuba divine insp,af21,,18.99,0.00
AFUENTE,AFUENTE,casa fuente 807 mad,af10,,32.99,5.00
AFUENTE,AFUENTE,CB DB BL CUTTER BOX,af11,,220.00,3.00
AFUENTE,AFUENTE,chat cuban beli sg,af113,843182100485,16.99,21.00
AFUENTE,AFUENTE,chat fue king T,af89,,23.99,6.00
AFUENTE,AFUENTE,chat fuente pyramid,af1,,18.99,6.00
AFUENTE,AFUENTE,chateau fuente mad,af24,843182100577,13.99,133.00
AFUENTE,AFUENTE,chateau fuente sg,af64,,27.99,79.00
AFUENTE,AFUENTE,chateau nat,af25,843182100607,16.99,29.00
AFUENTE,AFUENTE,chateau sungrown,af29,,13.99,-20.00
AFUENTE,AFUENTE,church sel doro,af118,,14.99,1.00
AFUENTE,AFUENTE,cra 2023 10pk,af111,,210.00,2.00
AFUENTE,AFUENTE,CRA pk/single,af117,,29.99,3.00
AFUENTE,AFUENTE,Cubanitos tin 10 ct,af30,843182101048,54.99,33.00
AFUENTE,AFUENTE,Cubanitos tin 10 ct,af30,843182103592,54.99,33.00
AFUENTE,AFUENTE,curly head deluxe mad,af122,,7.99,75.00
AFUENTE,AFUENTE,curly head deluxe nat,af18,,7.99,22.00
AFUENTE,AFUENTE,curly head mad,af9,,8.99,0.00
AFUENTE,AFUENTE,dbl chateau fue mad,af42,843182101307,16.99,17.00
AFUENTE,AFUENTE,dbl chateau fue nat,af43,843182101338,16.99,23.00
AFUENTE,AFUENTE,dbl chateau sg,af44,,16.99,0.00
AFUENTE,AFUENTE,don carlos dbl rob,af34,,22.99,28.00
AFUENTE,AFUENTE,don carlos no 2,af36,843182121626,27.99,96.00
AFUENTE,AFUENTE,don carlos no 3,af119,843182121688,24.99,70.00
AFUENTE,AFUENTE,don carlos no 4,af45,783465783,25.99,38.00
